SITE_ID,DESCRIPTION,LONGITUDE,LATITUDE,AADT,TDIST,PERCENT_HV,RSECT_ID,ROAD_NAME,TDIST_START,TDIST_END
135655,north of Ziegenfusz Rd,153.2683961,-27.5609294,16235,4.14,5.15,109,CLEVELAND - REDLAND BAY ROAD,3.8,6.64
136062,North of Victoria Point Road,153.2808587,-27.58233084,40984,6.9,4.87,109,CLEVELAND - REDLAND BAY ROAD,6.64,7.2
135649,430km South of Benfer Road,153.2871708,-27.59982893,26123,8.93,5.68,109,CLEVELAND - REDLAND BAY ROAD,7.2,9.56
131875,South of Giles Rd,153.2892674,-27.6146799,14035,10.63,5.85,109,CLEVELAND - REDLAND BAY ROAD,9.56,15.36
135995,10A - South of Dohles Rocks Road,153.0191713,-27.29088219,155602,0.05,11.39,10A,BRUCE HIGHWAY,0,1.9
130050,10A - PTC 1km Nth of Dohles Rocks Road,153.0181449,-27.26496587,129278,2.994,10.65,10A,BRUCE HIGHWAY,1.9,5.05
135790,10A - 700m Nth of Plantation Rd Overpass,152.9935858,-27.21456593,117823,9.4,11.75,10A,BRUCE HIGHWAY,5.05,9.73
20854,10A - Btw Boundary and Deception Bay Rd,152.9877569,-27.19615433,108284,11.53,7.83,10A,BRUCE HIGHWAY,9.73,13.5
20206,10A - PTC 1km South of Station Rd Int,152.9777565,-27.15815284,117622,15.85,10.21,10A,BRUCE HIGHWAY,13.5,17.96
20797,10A - South of Buchanan Road,152.9769979,-27.12158701,108325,20,11.23,10A,BRUCE HIGHWAY,17.96,21.42
21084,10A - Btw Buchanan and Bribie Is Rd,152.9753566,-27.08993852,111360,23.28,10.7,10A,BRUCE HIGHWAY,21.42,23.89
20948,10A - North Rd 40A/126,152.9767619,-27.05233806,65198,27.51,12.92,10A,BRUCE HIGHWAY,23.89,28.94
20221,10A - 1km North of Pumicestone Road PTC,152.9772906,-27.02178377,67653,31,12.57,10A,BRUCE HIGHWAY,28.94,34.86
20353,10A - 2.13km North of Johnstone Rd Int,153.0009401,-26.9005051,57523,44.7,12.68,10A,BRUCE HIGHWAY,34.86,50.87
23931,10A - 1.2km south of Caloundra Road,153.0440216,-26.79518263,62996,57.38,13.66,10A,BRUCE HIGHWAY,50.87,59.84
21082,10A - Btw Cal Rd and Glenview O'Bridge,153.0451775,-26.7661409,61409,60.66,11.07,10A,BRUCE HIGHWAY,59.84,62.22
20222,10A - Btw Glenview O'Bridge and SS Mwy,153.0465186,-26.73320665,63618,64.2,10.91,10A,BRUCE HIGHWAY,62.22,65.5
21083,10A - 1km South of Mons Rd Interchange,153.0117939,-26.69760194,45699,69.86,12.27,10A,BRUCE HIGHWAY,65.5,71.18
21085,10A - Abut A Eudlo Creek Bridge,153.0026073,-26.68108535,51629,71.97,14.62,10A,BRUCE HIGHWAY,71.18,72.9
20230,10A - 500m Nth of Diddillibah Rd O'Pass,152.990092,-26.6514673,39544,75.54,16.92,10A,BRUCE HIGHWAY,72.9,79.91
21086,10A - 650m Sth of Parklands Interchange,152.9723452,-26.60109259,37379,81.63,17.3,10A,BRUCE HIGHWAY,79.91,82.6
20739,WiM Site Yandina Bypass,152.9628995,-26.5775438,32461,84.5,15.48,10A,BRUCE HIGHWAY,82.6,86.63
20911,10A - 750m North of Yandina Crk Overpass,152.9542563,-26.51508818,31539,91.79,12.07,10A,BRUCE HIGHWAY,86.63,95.02
20006,10A - 320m Sth of Memorial Drv Overpass,152.9400209,-26.47043656,20861,97,16.65,10A,BRUCE HIGHWAY,95.02,97.67
20212,10A - 1.3km Nth of Memorial Dr Overpass,152.9311551,-26.45533344,25074,98.96,16.37,10A,BRUCE HIGHWAY,97.67,102.19
20007,10A - 500m Sth of Old Bruce Highway Int,152.8861254,-26.40188802,19044,106.76,22.26,10A,BRUCE HIGHWAY,102.19,108.27
20944,Rd 10A - Between Cooroy Int and Old 10A,152.7740442,-26.3677996,18588,119.8,18.54,10A,BRUCE HIGHWAY,108.27,120.99
20521,At Coles Creek - Bruce Hwy (Motorway),152.75481,-26.35048,16911,121.77,19.84,10A,BRUCE HIGHWAY,120.99,125.58
20204,Kybong Ck to Cobb's Gully FC12,152.727393,-26.298537,17487,130.185,17.08,10A,BRUCE HIGHWAY,125.58,140.05
20834,Abut A Deep Creek (10A),152.673428,-26.206365,20131,142.142,14.5,10A,BRUCE HIGHWAY,140.05,142.33
20261,At overhead Gantry-sth Centro Way,152.669032,-26.203395,20830,142.711,14.28,10A,BRUCE HIGHWAY,142.33,143.04
23736,Between Centro Way & Excelsior Rd,152.6673443,-26.19987456,21273,143.16,,10A,BRUCE HIGHWAY,143.04,143.28
21090,North of Excelsior Rd,152.664893,-26.1977,21549,143.504,12.91,10A,BRUCE HIGHWAY,143.28,144.43
21926,50m North of Rd 4806,152.657729,-26.19201584,26826,0.05,,10B,BRUCE HIGHWAY,0,0.22
20986,Between 1411 (Channon St) & Jane St,152.6536007,-26.18578131,20799,0.86,,10B,BRUCE HIGHWAY,0.22,0.92
20355,Between Janes St & Pine St,152.652453,-26.18343,17585,1.147,16,10B,BRUCE HIGHWAY,0.92,2.73
20988,South of Fraser Rd,152.641343,-26.168162,14239,3.216,15.95,10B,BRUCE HIGHWAY,2.73,7.13
20719,Abut A Spring Valley Creek Bridge,152.594233,-26.134972,13530,9.517,18.78,10B,BRUCE HIGHWAY,7.13,12.2
20201,1.1km north of Wide Bay Highway,152.57327,-26.12145,12294,12.491,19.05,10B,BRUCE HIGHWAY,12.2,14.02
120883,North of Aitkinsen Road  T/dist 17.36,152.583897,-26.07933656,11109,17.35,17.67,10B,BRUCE HIGHWAY,14.02,27.43
120873,South of Sheehans Road  T/dist 43.731,152.5929829,-25.86782595,9854,43.721,20.54,10B,BRUCE HIGHWAY,27.43,46.639
120400,At Black Swamp Creek  T/dist 59.453,152.5829759,-25.73450727,9936,59.443,18.8,10B,BRUCE HIGHWAY,46.639,60.309
120017,Nth side Tiaro Township  T/dist 61.069,152.5835423,-25.72003989,9413,61.059,14.45,10B,BRUCE HIGHWAY,60.309,67.229
120875,Sth side Glenorchy Straight T/dist 72.22,152.639597,-25.63547263,10708,72.21,18.68,10B,BRUCE HIGHWAY,67.229,76.568
120872,Sth of Three Mile Rd  T/dist 78.163,152.6514677,-25.58312394,11275,78.153,18.01,10B,BRUCE HIGHWAY,76.568,80.364
120876,Sth of Mary River Bridge T/dist 85.129,152.665375,-25.52401825,8992,85.119,19.01,10B,BRUCE HIGHWAY,80.364,85.509
120879,Nth/Showgrounds Rd (M'boro) T/dist 3.060,152.6701829,-25.5101811,9863,1.4,21.23,10C,BRUCE HIGHWAY,0,3.357
121016,Nth of Caltex M'boro North  T/dist 4.231,152.6631539,-25.48577024,8368,4.231,11.23,10C,BRUCE HIGHWAY,3.357,6.54
120412,Nth of Lenthals Dam t/off   T/dist 15.40,152.6084517,-25.40014986,7596,15.4,22,10C,BRUCE HIGHWAY,6.54,26.515
120794,Sth of Pig Creek  T/dist 37.298,152.4488522,-25.30433268,8052,37.298,23.43,10C,BRUCE HIGHWAY,26.515,54.253
121017,Snake Gully Sth/Childers  T/dist 54.396,152.2998262,-25.24377683,7422,54.381,24.94,10C,BRUCE HIGHWAY,54.253,55.365
120878,Childers Rail Xing  T/dist 56.00,152.28595,-25.23718813,7746,55.985,21.55,10C,BRUCE HIGHWAY,55.365,57.212
120884,Adjacent Apple Tree Ck RA T/dist 62.31,152.2393128,-25.21970632,6839,62.295,20.85,10C,BRUCE HIGHWAY,57.212,63.605
120889,West Side/ Sandy Ck Bridge  T/dist 76.14,152.1105384,-25.21195891,3876,76.125,32.5,10C,BRUCE HIGHWAY,63.605,83.905
120021,At Booyal School  T/dist 84.855,152.031158,-25.20906,3846,84.853,33.76,10C,BRUCE HIGHWAY,83.905,101.82
120888,South of Dee Bee Road  T/dist 109.871,151.9630272,-25.00794426,5263,109.387,23.6,10C,BRUCE HIGHWAY,101.82,111.56
120760,Sth of Roadtek Depot Gin Gin T/dist2.012,151.9484,-24.979382,5221,1.886,29.33,10D,BRUCE HIGHWAY,0,2.152
120938,North of Jensens Road  T/dist 9.562,151.91822,-24.916718,3679,9.566,17.01,10D,BRUCE HIGHWAY,2.152,37.363
120939,North of Kalpowar T/off  T/dist 37.683,151.704832,-24.81922,3460,37.687,2.02,10D,BRUCE HIGHWAY,37.363,50.383
60019,Bruce Hwy 9km North of Colosseum Creek,151.5513112,-24.39001681,3247,91.34,28.08,10D,BRUCE HIGHWAY,50.383,98.494
60022,Bruce Hwy 100m Nth Rodds Ck,151.4077093,-24.08384142,6904,132.35,19.02,10D,BRUCE HIGHWAY,98.494,140.298
60163,Bruce Hwy 100m N of Machine Ck.,151.3229727,-24.00080589,8233,145.335,23.63,10D,BRUCE HIGHWAY,140.298,146.358
60127,Bruce Hwy 40m N Ginger Beer Ck(Calliope),151.2222091,-23.98958855,5457,10.4,26.09,10E,BRUCE HIGHWAY,0,11.445
60006,Bruce Hwy 100m S of Calliope River,151.1572294,-23.95804876,4856,18.105,25.56,10E,BRUCE HIGHWAY,11.445,45.42
60023,Bruce Hwy 100m Sth Hut Ck ( Ambrose),150.9142577,-23.78278395,5683,53.49,22.72,10E,BRUCE HIGHWAY,45.42,85.308
61551,Bruce Hwy Mikros WiM Site 400m N Bobs Ck,150.5653211,-23.54587519,7002,100.438,27.22,10E,BRUCE HIGHWAY,85.308,108.938
60130,Bruce Hwy 100m Nth Gavial Ck,150.5287145,-23.45376013,6129,111.494,26,10E,BRUCE HIGHWAY,108.938,114.388
60024,Bruce Hwy 30m North Scrubby Ck,150.5079633,-23.43421223,9210,114.5,18.14,10E,BRUCE HIGHWAY,114.388,116.961
60868,Bruce Hwy100m N Owald St(Lower Dawson R),150.503217,-23.40399948,20213,118.341,18.72,10E,BRUCE HIGHWAY,116.961,119.737
61086,Bruce Hwy(Gladstone Rd) @ Derby St,150.5070501,-23.38751291,20912,120.225,13.01,10E,BRUCE HIGHWAY,119.737,121.051
60027,Bruce Hwy 100m Sth of Archer St(Lights),150.5049287,-23.37995686,14434,0.1,17.71,10F,BRUCE HIGHWAY,0,1.409
60017,Bruce Hwy 100m Sth  Knight St,150.514708,-23.36245778,32758,2.77,9.94,10F,BRUCE HIGHWAY,1.409,4.34
61005,Bruce Hwy at  Boland St,150.5226713,-23.34791735,25226,4.75,10.64,10F,BRUCE HIGHWAY,4.34,5.517
60822,Bruce Hwy 800m Sth Rton-Yeppoon Rd,150.5167895,-23.32180905,17604,7.736,12.71,10F,BRUCE HIGHWAY,5.517,8.55
60926,Bruce Hwy 200m Sth Mason Ave (Parkhurst),150.5127329,-23.29799685,12750,10.41,11.44,10F,BRUCE HIGHWAY,8.55,13.18
60823,Bruce Hwy 150m North Terra Nova Dr,150.5069226,-23.27257792,7458,13.33,18.51,10F,BRUCE HIGHWAY,13.18,19.833
60160,Bruce Hwy 450m N of 14 Mile Ck Rd,150.4632073,-23.18300474,4265,24.38,23.04,10F,BRUCE HIGHWAY,19.833,24.908
60003,Bruce Hwy 40m Sth MountainCk(Kunwarara),150.1319276,-22.90738163,2525,75.23,17.71,10F,BRUCE HIGHWAY,24.908,142.63
61814,Bruce Hwy 1km south of Montrose Creek,149.5646398,-22.65040103,2519,144.3,30.91,10F,BRUCE HIGHWAY,142.63,149.4
80022,South of Waverley Creek,149.477128,-22.44351,2317,169.588,32.21,10F,BRUCE HIGHWAY,149.4,177.923
80268,North of Clairview,149.4599682,-21.99429793,2352,46.187,28.91,10G,BRUCE HIGHWAY,0,57.307
80042,WiM Site Koumala,149.221063,-21.566348,3624,104.21,29.46,10G,BRUCE HIGHWAY,57.307,113.7
80008,South of Armstrong's Beach Turnoff,149.224701,-21.444372,4726,118.121,23.58,10G,BRUCE HIGHWAY,113.7,119.91
82703,Sichter Street - Broad Street,149.218114,-21.427562,7596,120.228,12.75,10G,BRUCE HIGHWAY,119.91,121.719
82720,Between Sarina and Sarina - Homebush TO,149.21474,-21.414967,8268,121.672,22.12,10G,BRUCE HIGHWAY,121.719,123.07
83112,Sarina - Homebush Road to Hay Point TO,149.2026349,-21.37212025,7087,126.615,30.73,10G,BRUCE HIGHWAY,123.07,132.491
80199,North of Macks Truck Stop,149.1613884,-21.28814249,10928,137.663,44.06,10G,BRUCE HIGHWAY,132.491,144.66
80003,Broadsound Road Permanent Counter,149.145856,-21.212695,14047,147.325,14.93,10G,BRUCE HIGHWAY,144.66,152.579
83224,City Gates to Lagoon Street,149.15911,-21.161459,24155,153.418,6.78,10G,BRUCE HIGHWAY,152.579,153.711
83225,Lagoon St to Bridge Rd,149.165489,-21.15484,24860,154.406,8.97,10G,BRUCE HIGHWAY,153.711,154.538
80140,George Street Pedestrian Crossing,149.170682,-21.149391,21994,155.215,18.25,10G,BRUCE HIGHWAY,154.538,156.025
80023,Ron Camm Bridge Permanent Counter,149.167416,-21.137942,33599,1.055,10.71,10H,BRUCE HIGHWAY,0,2.145
82932,Heaths Road/Sams Road - Bucasia Turnoff,149.1597125,-21.12626295,30159,2.618,8.72,10H,BRUCE HIGHWAY,2.145,3.218
82891,Bucasia Turnoff - Phillips Street,149.153221,-21.119843,11430,3.62,10.7,10H,BRUCE HIGHWAY,3.218,4.64
82776,North of QR Underpass,149.1075002,-21.11204537,10292,8.507,14.02,10H,BRUCE HIGHWAY,4.64,10.51
83049,H'way south of Leap Stn Road,149.0276486,-21.08136859,7406,17.721,18.52,10H,BRUCE HIGHWAY,10.51,20.108
80018,Jolimont Creek Permanent Counter,148.883134,-21.014352,4933,36.067,22.75,10H,BRUCE HIGHWAY,20.108,53.907
80192,North of Plantation Creek,148.587846,-20.657786,4067,90.693,27.91,10H,BRUCE HIGHWAY,53.907,101.523
80010,Proserpine Permanent Counter,148.5909002,-20.43345484,5517,119.529,24.35,10H,BRUCE HIGHWAY,101.523,123.195
82847,Southern Abutment Proserpine River,148.586736,-20.395078,11595,0.972,15.01,10J,BRUCE HIGHWAY,0,1.282
82817,South of Foxdale Quarry,148.5669437,-20.37557118,3449,4.142,25.1,10J,BRUCE HIGHWAY,1.282,12.668
82717,North of Six Mile Creek,148.4937185,-20.28804754,3792,18.56,24.2,10J,BRUCE HIGHWAY,12.668,31.112
90003,"1.6km South of Duck Ck, 12km from Bowen",148.253064,-20.122122,4296,50.391,23.22,10J,BRUCE HIGHWAY,31.112,60.979
90050,1km South of Bowen Connection,148.217256,-20.023053,6419,62.791,14.29,10J,BRUCE HIGHWAY,60.979,63.798
90051,200m North of Don River (Bowen),148.194131,-20.016669,6609,3.235,14.62,10K,BRUCE HIGHWAY,0,3.536
92198,10K Little Goodbye Creek,148.0914906,-20.00147062,3204,14.942,31.76,10K,BRUCE HIGHWAY,3.536,15.868
90042,10K WiM Site Guthalungra,147.852447,-19.92703842,3430,44.118,17.49,10K,BRUCE HIGHWAY,15.868,98.206
91439,10K 50m Nth 11th Street Home Hill,147.4120345,-19.66056622,6791,101.142,16.47,10K,BRUCE HIGHWAY,98.206,102.851
90004,10K 550m Nth McDesme Rd,147.3926335,-19.61233506,8646,107.48,8.82,10K,BRUCE HIGHWAY,102.851,108.96
91443,Plantation Ck 600m N of Rossiters Hill,147.3974302,-19.59105964,10544,109.9,14.48,10K,BRUCE HIGHWAY,108.96,110.55
91396,10K 300m Nth Bower St R'bout,147.4000937,-19.58198742,6483,110.965,9.19,10K,BRUCE HIGHWAY,110.55,112.12
91398,10L 500m Sth HV Bypass adj Showgrounds,147.3943486,-19.56445277,5907,1.7,12.85,10L,BRUCE HIGHWAY,0,2.15
91399,10L 900m Sth Dal Santos Culvert Brandon,147.3770438,-19.55646544,7946,3.8,24.31,10L,BRUCE HIGHWAY,2.15,6.439
91699,10L WiM Site Greenacres,147.230315,-19.5658626,5395,20.659,18.43,10L,BRUCE HIGHWAY,6.439,64.166
92216,500m Sth of Allendale Dr,146.9331121,-19.38247107,7479,66.461,17.47,10L,BRUCE HIGHWAY,64.166,66.821
92201,10L 600m Sth TPAR Intersection,146.8483577,-19.3348382,13335,77.351,14.37,10L,BRUCE HIGHWAY,66.821,77.998
92177,10M 100m Sth Stuart Ck Bridge,146.8381188,-19.32299176,12429,1.043,16.39,10M,BRUCE HIGHWAY,0,2.544
92204,200m West of Cluden Racecourse,146.8186478,-19.31808251,13807,2.88,17.31,10M,BRUCE HIGHWAY,2.544,3.853
92178,10M 250m East Mark Reid Dr adj VMS,146.7756431,-19.31789545,32971,7.809,11.08,10M,BRUCE HIGHWAY,3.853,8.635
92180,10M adj Discovery Dr Overpass,146.7635884,-19.31793688,17670,9.073,9.2,10M,BRUCE HIGHWAY,8.635,10.33
92181,10M 600m West Midpoint On Ramp,146.7491933,-19.32116213,25421,10.666,8.84,10M,BRUCE HIGHWAY,10.33,11.96
92241,Douglas Art. 800m East of Vickers Bdge,146.7369184,-19.32640989,31039,12.115,9.96,10M,BRUCE HIGHWAY,11.96,12.753
92242,Douglas Art. 800m West of Vickers Bdge,146.7218742,-19.32701013,14143,13.755,11.33,10M,BRUCE HIGHWAY,12.753,13.969
92182,10M adj Beck Dr Overpass,146.7136586,-19.32611824,17234,14.696,12.08,10M,BRUCE HIGHWAY,13.969,16.534
92243,Ring Road 600m West of HRR O/Pass,146.6955374,-19.31157624,12529,17.52,15.04,10M,BRUCE HIGHWAY,16.534,17.754
92183,10M 800m Sth Kalynda Pde,146.6958904,-19.30173917,14415,18.745,8.59,10M,BRUCE HIGHWAY,17.754,18.8
92260,10M RR4 North of Kalynda Parade,146.7003085,-19.26619601,11087,22.869,6.78,10M,BRUCE HIGHWAY,18.8,26.6
92259,10M 1.47km NorthWest of Veales Rd,146.6417265,-19.22928495,13503,29.6,10.9,10M,BRUCE HIGHWAY,26.6,31
92227,400m Nth Bowdens Rd QAS Emergent Access,146.6245204,-19.22587936,12968,31.33,15.37,10M,BRUCE HIGHWAY,31,33.945
91452,10M 500m Nth Greenvale St Yabulu,146.599039,-19.21422636,11606,34.458,21.52,10M,BRUCE HIGHWAY,33.945,37.769
92222,100m Sth Bluewater Creek Bridge,146.5537886,-19.1770178,8926,40.725,14.35,10M,BRUCE HIGHWAY,37.769,41.769
92254,"10M Waterview Creek, Ingham",146.1583883,-18.84275592,4546,98.119,20.94,10M,BRUCE HIGHWAY,41.769,112.283
90024,"Pound Creek, Ingham",146.1524928,-18.67272686,5430,117.99,14.72,10M,BRUCE HIGHWAY,112.283,118.132
91485,10M 250m Sth MacIlwraith St,146.1541584,-18.6552435,6879,120.041,17.07,10M,BRUCE HIGHWAY,118.132,120.458
91400,10N Palm Ck Ingham adj to Monument,146.1582661,-18.64943526,12506,0.4,13.06,10N,BRUCE HIGHWAY,0,0.969
91402,10N 150m Nth of Forest Beach Road,146.1635486,-18.64126974,5552,1.145,18.08,10N,BRUCE HIGHWAY,0.969,1.539
91456,800m North of Hawkins Creek Road.,146.1715779,-18.61700029,3686,4.506,22.47,10N,BRUCE HIGHWAY,1.539,9.677
90017,Blady Grass Creek,146.1112735,-18.39313985,3106,35.15,27.29,10N,BRUCE HIGHWAY,9.677,51.663
91489,50m south of Scott Street - Cardwell,146.0229362,-18.26140779,4816,53.8,17.6,10N,BRUCE HIGHWAY,51.663,54.864
90041,WiM Site Cardwell,145.9291859,-18.1591337,3499,69.567,18.42,10N,BRUCE HIGHWAY,54.864,88.363
91504,400m S Butler St (Tully High School),145.9312283,-17.93857395,5691,95.305,20.45,10N,BRUCE HIGHWAY,88.363,95.779
91404,500m Sth of Tully Mission Bch Rd,145.9413019,-17.92131263,7098,97.576,17.82,10N,BRUCE HIGHWAY,95.779,98.375
91405,Midgenoo Ck,145.9623805,-17.89404496,4420,101.326,22.05,10N,BRUCE HIGHWAY,98.375,106.822
110008,Silkwood PC 300m Nth of Silkwood-Japoon,146.0286541,-17.74552741,5715,120.123,17.16,10N,BRUCE HIGHWAY,106.822,140.082
111499,Ninds Creek,146.0383752,-17.57086905,7988,140.456,9.53,10N,BRUCE HIGHWAY,140.082,145.847
111575,Bamboo Creek,146.0295496,-17.53133951,11772,146.684,9.68,10N,BRUCE HIGHWAY,145.847,147.444
111571,Railway Crossing - Innisfail,146.0184316,-17.52448495,11724,1.262,8.42,10P,BRUCE HIGHWAY,0,2.66
111559,Goondi Bend - 100m Nth of Clifford Rd,146.0088642,-17.51730757,9728,3.684,10.43,10P,BRUCE HIGHWAY,2.66,4.455
110040,"Nth Johnstone R, 200m N of Palmerston Hy",145.9936681,-17.49655211,7154,4.705,13.09,10P,BRUCE HIGHWAY,4.455,19.2
110050,WiM Site Babinda,145.9172231,-17.35855051,6228,26.18,12.93,10P,BRUCE HIGHWAY,19.2,29.02
110001,300m North of Harvey Ck,145.9221602,-17.25786134,5961,41.524,13.47,10P,BRUCE HIGHWAY,29.02,54.59
111647,200m north of Mulgrave River Bridge,145.7811389,-17.09956442,7632,63.637,11.53,10P,BRUCE HIGHWAY,54.59,63.822
111648,500 m North of Gillies Highway,145.7751783,-17.09719915,11114,65.138,9.48,10P,BRUCE HIGHWAY,63.822,65.842
110025,Blackfellow Creek,145.7444688,-17.01782518,33949,74.555,6.15,10P,BRUCE HIGHWAY,74.455,76.05
111635,Skeleton Creek,145.7431917,-16.99826255,38575,76.693,5.4,10P,BRUCE HIGHWAY,76.05,79.21
110009,"Crowley Ck, at White Rock",145.7438615,-16.97330491,53056,79.31,6.98,10P,BRUCE HIGHWAY,79.21,81.47
110030,North Abut.Chinamans Creek Bridge,145.7550801,-16.9497161,33251,82.605,6.15,10P,BRUCE HIGHWAY,81.47,84.245
111566,Comport Street - 100m North of Buchan St,145.770565,-16.93929781,19897,84.605,5.12,10P,BRUCE HIGHWAY,84.245,85.335
131673,East of Ney Rd,153.2022243,-27.56335899,23794,1.1,9.3,110,REDLAND BAY ROAD,0,2.69
131674,East of Lyndon Road,153.2202436,-27.56782628,14439,3.14,13.34,110,REDLAND BAY ROAD,2.69,4.66
131675,East of Redland Bay Rd,153.2369256,-27.56566984,35867,4.87,6.19,110,REDLAND BAY ROAD,4.66,6.13
131676,East of Venn Parade,153.2620786,-27.57178755,27015,7.44,8.64,110,REDLAND BAY ROAD,6.13,9.48
